doi	isHuman	fk_prct	ai_words	txt_words
43246-024-00614-0	100.0	0.0	0	2307
43246-024-00640-y	100.0	0.0	0	2187
43246-024-00642-w	100.0	0.0	0	2141
43246-024-00644-8	100.0	0.0	0	2268
43246-024-00648-4	100.0	1.59	52	2248
43246-024-00652-8	100.0	0.0	0	2208
43247-024-01640-z	100.0	5.97	174	2274
43247-024-01642-x	100.0	1.01	33	2416
43247-024-01676-1	100.0	3.44	102	2255
43247-024-01683-2	100.0	10.52	316	2430
43247-024-01687-y	100.0	4.8	136	2153
43247-024-01688-x	100.0	0.0	0	2286
43247-024-01689-w	100.0	0.0	0	2418
43247-024-01691-2	100.0	2.25	67	2243
43247-024-01692-1	100.0	0.0	0	2290
43247-024-01694-z	100.0	5.25	150	2270
43247-024-01697-w	100.0	0.0	0	2150
43247-024-01700-4	100.0	0.0	0	2335
43247-024-01705-z	100.0	3.29	84	2140
43247-024-01706-y	100.0	0.84	27	2267
43247-024-01709-9	100.0	1.5	48	2303
43247-024-01710-2	100.0	0.0	0	2217
43247-024-01712-0	100.0	2.44	77	2256
43247-024-01713-z	100.0	0.0	0	2281
43247-024-01714-y	100.0	1.22	35	2257
43247-024-01719-7	100.0	0.0	0	92
43247-024-01720-0	100.0	1.8	55	2304
43247-024-01721-z	100.0	3.06	89	2282
43247-024-01724-w	100.0	1.66	56	2503
43247-024-01726-8	100.0	11.49	334	2463
43247-024-01727-7	100.0	0.0	0	2311
s41545-024-00397-4	100.0	7.07	192	2241
s41545-024-00417-3	100.0	0.0	0	2262
s41612-024-00852-6	100.0	10.95	290	2330
s41746-024-01311-5	100.0	0.86	24	2280
s41746-024-01361-9	100.0	0.0	0	2148
s41893-024-01350-6	100.0	1.32	38	2199
s41893-024-01357-z	100.0	0.0	0	2186
s41893-024-01360-4	100.0	14.14	408	2511
s41893-024-01361-3	100.0	3.79	116	2328
s41893-024-01362-2	100.0	0.0	0	2268
s41893-024-01364-0	100.0	0.0	0	2168
s41893-024-01367-x	100.0	0.0	0	2151
s41893-024-01371-1	100.0	1.27	40	2228
s41893-024-01408-5	100.0	12.69	268	1701
s41893-024-01420-9	100.0	10.02	193	1563
s41928-024-01174-4	100.0	0.0	0	2209
s41929-024-01175-8	100.0	0.94	30	2328
s41929-024-01187-4	100.0	0.0	0	2259
s41929-024-01189-2	100.0	0.0	0	2231
s41929-024-01194-5	100.0	1.87	52	2249
s41929-024-01205-5	100.0	0.0	0	2363
s42003-024-06851-w	87.5	17.54	421	2180
s42003-024-07109-1	100.0	9.43	259	2197
s42003-024-07302-2	100.0	0.0	0	2384
s42003-024-07307-x	100.0	7.07	192	2230
s42003-024-07312-0	75.0	28.31	744	2413
s42004-024-01384-z	100.0	13.39	322	2039
s41545-024-00409-3	100.0	0.0	0	1892
s41612-024-00844-6	100.0	2.66	77	2424
s41612-024-00863-3	100.0	0.0	0	2340
s41746-024-01337-9	100.0	4.37	134	2309
s41746-024-01357-5	100.0	13.22	232	1469
s41893-024-01269-y	100.0	1.34	41	2202
s41893-024-01332-8	100.0	1.71	49	2088
s41893-024-01341-7	75.0	30.32	828	2287
s41893-024-01346-2	100.0	4.26	131	2294
s41893-024-01349-z	100.0	0.0	0	2364
s41893-024-01351-5	100.0	3.84	106	2250
s41893-024-01356-0	100.0	5.84	195	2359
s41893-024-01389-5	100.0	0.0	0	2096
s41929-024-01180-x	100.0	9.91	287	2353
s41929-024-01181-w	100.0	0.0	0	2427
s41929-024-01190-9	100.0	4.39	125	2207
s42003-024-07308-w	100.0	1.3	38	2233
s42003-024-07310-2	100.0	11.04	295	2174
s42003-024-07319-7	87.5	15.61	393	2259
s42003-024-07323-x	100.0	13.83	388	2386
s42003-024-07332-w	100.0	3.11	84	2219
s42004-024-01376-z	100.0	0.0	0	2319
s42004-024-01380-3	100.0	0.0	0	2284
s42004-024-01383-0	100.0	3.24	83	2221
s42005-024-01890-5	75.0	24.4	567	1952
43016-024-00952-9	100.0	0.0	0	2247
43018-024-00794-1	100.0	11.16	281	2096
43246-024-00501-8	100.0	9.83	276	2378
43246-024-00649-3	100.0	0.0	0	2332
43246-024-00656-4	100.0	0.0	0	2218
43247-024-01344-4	100.0	7.22	229	2337
43247-024-01695-y	75.0	25.83	638	2220
43247-024-01703-1	100.0	1.06	34	2254
43247-024-01715-x	100.0	0.0	0	2214
43247-024-01725-9	100.0	0.0	0	2274
43247-024-01728-6	100.0	11.94	322	2237
43247-024-01732-w	100.0	0.0	0	2299
43247-024-01734-8	100.0	5.48	143	2073
43247-024-01739-3	100.0	13.83	385	2113
43247-024-01741-9	100.0	5.08	139	2138
43247-024-01744-6	100.0	0.0	0	1972
43247-024-01750-8	100.0	10.26	293	2369
s41392-024-01986-y	87.5	19.32	469	2205
s41392-024-01987-x	12.5	80.5	1872	2196
s41392-024-01988-w	50.0	43.79	1073	2256
s41392-024-01992-0	37.5	70.6	1658	2202
s41525-024-00429-5	100.0	12.79	348	2195
s41535-024-00692-w	100.0	0.0	0	2485
s41541-024-00973-2	75.0	27.6	675	2151
s41541-024-00977-y	75.0	21.53	571	2217
s41541-024-00983-0	100.0	0.0	0	873
s41541-024-00984-z	100.0	5.53	49	637
s41541-024-00986-x	100.0	12.06	325	2200
s41541-024-00991-0	100.0	13.88	366	2176
s41541-024-00996-9	87.5	15.46	457	2466
s41541-024-00997-8	25.0	69.13	1453	2031
s41564-024-01714-w	87.5	16.46	419	2316
s41564-024-01812-9	100.0	5.62	152	2210
s41550-024-02388-4	100.0	3.84	109	2407
s41550-024-02417-2	100.0	0.0	0	2427
s41550-024-02428-z	100.0	0.0	0	2436
s41550-024-02431-4	75.0	23.2	693	2432
s41550-024-02433-2	100.0	4.05	132	2419
s41551-024-01290-8	100.0	0.0	0	2074
s41551-024-01309-0	100.0	11.18	296	2149
s41559-024-02579-2	100.0	0.0	0	2181
s41559-024-02591-6	100.0	1.49	50	2275
s41559-024-02592-5	100.0	0.0	0	2215
s41559-024-02593-4	100.0	0.0	0	2282
s41559-024-02595-2	100.0	9.89	278	2232
s41559-024-02596-1	100.0	0.0	0	2223
s41559-024-02597-0	100.0	1.12	34	2234
s41559-024-02600-8	100.0	0.0	0	2310
s41559-024-02617-z	100.0	0.0	0	2293
s41562-024-01961-1	100.0	0.0	0	2163
s41562-024-02017-0	100.0	1.38	49	2168
s41562-024-02041-0	100.0	0.0	0	2184
s41562-024-02053-w	75.0	24.01	634	2350
s41562-024-02061-w	100.0	2.21	58	2173
s41562-024-02064-7	100.0	0.0	0	214
s41562-024-02070-9	100.0	8.34	247	2382
s41562-024-02071-8	100.0	8.38	253	2171
s41562-024-02072-7	100.0	0.0	0	2265
s41562-024-02074-5	100.0	3.35	83	1977
s41562-024-02075-4	100.0	2.38	74	2234
s41562-024-02076-3	100.0	0.0	0	2104
s41562-024-02077-2	100.0	8.35	256	2413
s41564-024-01811-w	100.0	6.43	180	2228
44286-024-00047-z	100.0	1.25	38	2225
44304-024-00026-7	100.0	9.4	261	2382
44304-024-00027-6	100.0	1.53	54	2506
44304-024-00047-2	100.0	0.0	0	2035
44310-024-00004-x	100.0	0.0	0	2348
44310-024-00006-9	100.0	3.51	122	2434
44325-024-00027-5	100.0	1.72	47	2233
44328-024-00016-9	62.5	47.54	1123	2060
44333-024-00007-3	100.0	0.0	0	2271
44333-024-00016-2	100.0	1.53	47	2097
44334-024-00007-8	100.0	0.84	25	2207
s41392-024-02017-6	50.0	57.57	1382	2285
s41392-024-02020-x	87.5	18.0	486	2199
s41392-024-02025-6	50.0	51.72	1235	2197
s41535-024-00700-z	100.0	0.0	0	2384
s41539-024-00279-x	100.0	4.97	135	2306
s41539-024-00280-4	100.0	2.2	58	2154
s41541-024-00998-7	100.0	12.03	306	2253
s41541-024-01014-8	75.0	21.6	592	2294
s41560-023-01434-1	100.0	3.59	108	2374
s41560-024-01465-2	100.0	0.0	0	2234
s41560-024-01484-z	100.0	0.0	0	2239
s41560-024-01488-9	100.0	0.0	0	2373
s41560-024-01622-7	100.0	4.62	119	1992
s41560-024-01634-3	100.0	0.0	0	2428
s41562-024-02035-y	100.0	3.97	73	1300
s41564-024-01607-y	100.0	1.76	52	2286
s41564-024-01617-w	100.0	8.6	228	2294
s41564-024-01628-7	100.0	6.67	184	2206
s41564-024-01629-6	100.0	8.61	235	2267
s41564-024-01641-w	100.0	7.06	187	2286
s41564-024-01646-5	100.0	6.0	159	2295
s41564-024-01650-9	100.0	0.0	0	2262
s41564-024-01665-2	100.0	15.75	423	2245
s41564-024-01672-3	100.0	12.31	337	2327
s41392-024-02019-4	50.0	50.64	1202	2091
s41541-024-01008-6	62.5	48.48	1266	2307
s41560-023-01420-7	100.0	9.04	255	2267
s41560-023-01422-5	100.0	0.0	0	2130
s41560-023-01436-z	100.0	5.62	143	2148
s41560-023-01441-2	100.0	6.09	191	2393
s41560-023-01442-1	100.0	0.41	12	2372
s41560-023-01444-z	100.0	14.22	380	2232
s41560-024-01449-2	100.0	6.67	184	2223
s41560-024-01450-9	100.0	0.0	0	2347
s41560-024-01451-8	100.0	3.59	109	2349
s41560-024-01476-z	100.0	0.0	0	2371
s41564-023-01549-x	75.0	31.1	814	2198
s41564-023-01550-4	100.0	0.0	0	2470
s41564-023-01553-1	100.0	1.47	42	2338
s41564-023-01558-w	100.0	2.76	84	2199
s41564-023-01559-9	100.0	2.15	66	2306
s41564-023-01561-1	100.0	1.2	37	2251
s41564-023-01578-6	100.0	8.64	218	2185
s41564-023-01579-5	100.0	1.95	57	2262
s41564-023-01583-9	100.0	8.23	218	2229
s41564-023-01588-4	87.5	15.8	473	2298
s41564-023-01593-7	100.0	12.95	123	766
s41564-024-01599-9	100.0	3.02	85	2198
s41564-024-01618-9	100.0	14.88	394	2308
s41564-024-01637-6	100.0	4.07	118	2209
s41570-024-00663-6	100.0	7.12	152	1758
s41392-024-02066-x	100.0	7.46	244	2215
s41392-024-02067-w	100.0	11.25	300	2238
s41392-024-02077-8	75.0	29.86	785	2277
s41392-024-02087-6	37.5	45.27	1039	2171
s41535-024-00712-9	100.0	0.0	0	2326
s41535-024-00717-4	100.0	4.41	122	2365
s41536-024-00387-7	100.0	12.89	336	2172
s41541-024-01042-4	62.5	42.18	1063	2269
s41541-024-01052-2	100.0	7.39	216	2466
s41550-024-02380-y	100.0	1.66	51	2347
s41550-024-02382-w	100.0	0.0	0	2460
s41550-024-02385-7	100.0	0.0	0	329
s41550-024-02391-9	100.0	0.0	0	2365
s41560-024-01642-3	100.0	0.0	0	2506
s41560-024-01649-w	100.0	1.52	49	2323
s41562-024-02003-6	100.0	0.0	0	834
s41562-024-02059-4	100.0	0.0	0	2345
s41564-024-01791-x	100.0	5.93	159	2190
s41564-024-01793-9	100.0	12.64	352	2315
s41564-024-01794-8	75.0	27.72	698	2203
s41564-024-01800-z	100.0	1.9	54	2011
s41564-024-01801-y	62.5	34.46	841	2270
43246-024-00682-2	100.0	1.87	53	2116
43246-024-00689-9	100.0	0.0	0	2565
43247-024-01557-7	100.0	2.78	86	2464
43247-024-01743-7	100.0	13.87	406	2312
43247-024-01775-z	100.0	3.11	97	2373
43247-024-01783-z	100.0	14.47	404	2346
43247-024-01819-4	100.0	0.0	0	2288
43247-024-01829-2	100.0	2.54	76	2191
43247-024-01831-8	100.0	0.0	0	2286
43247-024-01832-7	100.0	1.25	39	2359
43247-024-01833-6	100.0	0.0	0	2286
43247-024-01835-4	100.0	13.34	397	2462
43247-024-01837-2	100.0	0.0	0	2433
43247-024-01838-1	100.0	2.46	76	2372
43247-024-01839-0	100.0	0.0	0	2419
43247-024-01846-1	100.0	9.44	266	2218
43247-024-01848-z	100.0	2.56	79	2294
43247-024-01850-5	100.0	3.12	88	2255
43247-024-01852-3	100.0	1.74	53	2419
43247-024-01853-2	100.0	1.61	44	2267
43247-024-01854-1	100.0	0.0	0	2264
43247-024-01856-z	100.0	0.0	0	2344
43247-024-01859-w	50.0	44.93	962	2000
43247-024-01867-w	100.0	0.0	0	2363
s41612-024-00839-3	50.0	48.06	1162	2268
s41746-024-01338-8	100.0	7.85	197	2136
s41893-024-01267-0	100.0	5.37	139	2235
s41893-024-01271-4	100.0	3.85	113	2262
s41893-024-01276-z	100.0	3.23	91	2262
s41893-024-01288-9	100.0	0.0	0	2335
s41893-024-01290-1	100.0	1.29	29	1449
s41893-024-01302-0	100.0	3.76	102	2375
s41893-024-01365-z	100.0	0.0	0	2115
s41929-023-01106-z	100.0	4.66	145	2364
s41929-024-01155-y	100.0	7.67	201	2279
s42003-024-07083-8	62.5	39.86	1037	2298
s42003-024-07135-z	100.0	10.48	290	2282
s42003-024-07237-8	100.0	7.1	195	2218
s42003-024-07255-6	100.0	2.38	74	2176
s42003-024-07263-6	100.0	5.47	157	2402
s42003-024-07264-5	100.0	10.19	298	2364
s42003-024-07271-6	100.0	4.4	113	2093
s42003-024-07273-4	100.0	6.6	176	2259
s42003-024-07286-z	100.0	1.75	59	2126
s42003-024-07287-y	100.0	0.0	0	2266
s42003-024-07296-x	75.0	24.25	653	2253
s42004-024-01299-9	75.0	22.58	546	2204
s42005-024-01877-2	100.0	15.23	443	2366
s42005-024-01882-5	100.0	0.0	0	2221
s41550-024-02418-1	100.0	3.3	96	2346
s41551-024-01267-7	100.0	4.76	137	2164
s41551-024-01282-8	87.5	15.98	454	2363
s41551-024-01287-3	100.0	2.29	63	2101
s41551-024-01289-1	100.0	2.18	63	2249
s41559-024-02582-7	100.0	13.0	342	2138
s41562-024-02023-2	100.0	0.0	0	2205
s41562-024-02033-0	62.5	37.5	905	2221
s41893-024-01475-8	100.0	9.64	286	2382
s41893-024-01477-6	75.0	28.34	666	2124
44304-024-00016-9	100.0	5.94	181	2401
44304-024-00033-8	100.0	7.67	234	2336
44310-024-00017-6	100.0	4.54	140	2387
44325-024-00008-8	37.5	53.51	1268	2225
44325-024-00013-x	75.0	28.2	687	2089
44325-024-00015-9	100.0	4.47	115	2071
44328-024-00006-x	100.0	11.6	289	2117
44328-024-00007-w	100.0	3.41	98	2267
44328-024-00008-9	87.5	15.16	332	2121
44328-024-00015-w	100.0	12.22	310	2044
44333-024-00011-7	75.0	25.81	398	1112
44335-024-00002-4	100.0	0.0	0	2196
44335-024-00005-1	100.0	12.47	344	2276
44335-024-00006-0	100.0	3.51	106	2228
44168-024-00135-z	100.0	3.83	114	2275
44168-024-00137-x	100.0	1.2	38	2073
44168-024-00140-2	100.0	0.0	0	2280
44168-024-00141-1	75.0	25.34	658	2226
44168-024-00142-0	100.0	8.37	244	2301
44168-024-00143-z	100.0	3.79	68	1388
44168-024-00145-x	100.0	16.64	454	2307
44172-024-00235-y	100.0	0.59	20	2201
44172-024-00237-w	87.5	14.07	290	2061
44172-024-00238-9	100.0	1.56	44	2242
44172-024-00240-1	100.0	0.0	0	2087
44172-024-00242-z	100.0	0.0	0	2179
44172-024-00243-y	100.0	0.0	0	2000
44172-024-00244-x	100.0	0.0	0	2334
44172-024-00245-w	100.0	4.12	109	2095
44172-024-00247-8	100.0	2.35	69	2208
44172-024-00248-7	100.0	0.0	0	2220
44172-024-00250-z	100.0	5.59	172	2266
44172-024-00255-8	100.0	6.36	208	2213
44185-024-00048-4	100.0	0.0	0	191
44185-024-00049-3	100.0	14.41	380	2204
44260-024-00012-0	100.0	0.0	0	1575
44260-024-00014-y	100.0	0.0	0	2107
44304-024-00012-z	100.0	1.45	48	2268
44304-024-00022-x	100.0	2.48	32	1002
44310-024-00019-4	100.0	0.0	0	2308
44310-024-00024-7	100.0	0.0	0	2259
44310-024-00028-3	87.5	18.24	475	2118
44310-024-00029-2	100.0	1.36	43	2208
44310-024-00030-9	100.0	2.18	62	2182
44310-024-00031-8	100.0	0.0	0	2176
44310-024-00033-6	100.0	14.08	360	2083
44310-024-00034-5	75.0	22.41	483	2050
44310-024-00035-4	100.0	0.0	0	2105
44323-024-00005-1	100.0	0.0	0	2339
44323-024-00007-z	100.0	10.61	301	2243
44325-024-00007-9	37.5	57.75	1379	2226
44325-024-00012-y	75.0	37.61	831	1953
44325-024-00014-w	75.0	32.57	849	2175
44325-024-00021-x	50.0	54.13	1285	2151
